                   H2O_161                       H2O_181                  H2O_171                    H2O_162                    CO2_626                      CO_26                      CO_36                      CO_28                      CO_27                     CH4_211                       NH3_4111                 OH_61                         OCS_622                   H2CO_126                  HCN_124                      C2H2_1221    	      CH3OH_2161   HD		O                    HF_19             HCL_15                C2H4_38                     C2H6_90 
                     H2O                         H218O                    H217O		             HDO         		CO2	                     12CO                       13CO                       C18O                       C17O                      CH4                           NH3                      OH                            OCS                       H2CO                      HCN                          C2H2       	      CH3OH	   HD		O                    HF                HCL                   C2H4                        C2H6 
                     18                          20                       19                         19                         48                           28                         29                         30                         29                        16                            17                       17                            60                        30                        27                           26       	              32	   3		16                   15                36                    28                          30
 111.0           40.945696                  40.285225                 240.740781                 195.104136       	     99.187250  		  40.320529		     84.328107  		42.324575		  248.149550		    135.912547  		  395.939260		     30.542222  		 382.106185		   650.171680		      315.683393		  132.112866	  	17545.468849	 2.03978      5.4433499  	  16.429687	    61.902662	 	2406.86029000	    	   12099.94106000
 112.0           41.485788                  40.829866                 243.996018                 197.780240       	    100.082744  		  40.681065		     85.082221  		42.703155		  250.369153		    137.733243  		  401.232275		     30.776253  		 385.605935		   658.953038		      318.517310		  133.306429	  	17783.133720	 2.05460      5.4519339  	  16.564389	    62.435344	 	2439.45450000	    	   12272.35744000
 113.0           42.028269                  41.376915                 247.265658                 200.468269       	    100.978495  		  41.041607		     85.836342  		43.081741		  252.588802		    139.562063  		  406.548971		     31.011084  		 389.109362		   667.773913		      321.351789		  134.500725	  	18022.040312	 2.06953      5.4605308  	  16.699104	    62.968045	 	2472.17017000	    	   12445.98483000
 114.0           42.573130                  41.926362                 250.549644                 203.168178       	    101.874520  		  41.402156		     86.590470  		43.460331		  254.808496		    141.398978  		  411.889260		     31.246701  		 392.616590		   676.634151		      324.186864		  135.695795	  	18261.842386	 2.08457      5.4691392  	  16.833833	    63.500765	 	2505.05738000	    	   12620.83126000
 115.0           43.120361                  42.478200                 253.847922                 205.879921       	    102.770832  		  41.762711		     87.344606  		43.838927		  257.028232		    143.243956  		  417.253054		     31.483096  		 396.127747		   685.533598		      327.022568		  136.891677	  	18502.709960	 2.09971      5.4777574  	  16.968576	    64.033503	 	2538.06489000	    	   12796.77983000
 116.0           43.669953                  43.032418                 257.160437                 208.603453       	    103.667446  		  42.123272		     88.098750  		44.217528		  259.248009		    145.096968  		  422.640265		     31.720255  		 399.642958		   694.472102		      329.858935		  138.088410	  	18744.826592	 2.11497      5.4863843  	  17.103332	    64.566260	 	2571.24240000	    	   12973.83395000
 117.0           44.221899                  43.589008                 260.487134                 211.338729       	    104.564376  		  42.483839		     88.852902  		44.596133		  261.467828		    146.957982  		  428.050807		     31.958170  		 403.162350		   703.449508		      332.695997		  139.286034	  	18987.808168	 2.13034      5.4950183  	  17.238102	    65.099036	 	2604.53907000	    	   13152.12540000
 118.0           44.776187                  44.147961                 263.827957                 214.085702       	    105.461638  		  42.844411		     89.607065  		44.974745		  263.687685		    148.826969  		  433.484591		     32.196827  		 406.686048		   712.465663		      335.533788		  140.484587	  	19232.037880	 2.14581      5.5036582  	  17.372885	    65.631830	 	2638.00545000	    	   13331.53268000
 119.0           45.332811                  44.709267                 267.182853                 216.844328       	    106.359247  		  43.204990		     90.361238  		45.353361		  265.907580		    150.703897  		  438.941529		     32.436217  		 410.214179		   721.520413		      338.372341		  141.684108	  	19477.121914	 2.16140      5.5123028  	  17.507680	    66.164642	 	2671.58861000	    	   13512.05941000
 120.0           45.891760                  45.272919                 270.551764                 219.614560       	    107.257215  		  43.565575		     91.115422  		45.731983		  268.127511		    152.588737  		  444.421534		     32.676327  		 413.746869		   730.613604		      341.211690		  142.884636	  	19723.443431	 2.17711      5.5209507  	  17.642488	    66.697472	 	2705.34068000	    	   13693.84260000
 121.0           46.453027                  45.838907                 273.934638                 222.396355       	    108.155560  		  43.926165		     91.869618  		46.110610		  270.347478		    154.481458  		  449.924519		     32.917148  		 417.284244		   739.745084		      344.051868		  144.086211	  	19970.808250	 2.19293      5.5296008  	  17.777309	    67.230320	 	2739.23528000	    	   13876.75605000
 122.0           47.016601                  46.407222                 277.331418                 225.189665       	    109.054294  		  44.286761		     92.623827  		46.489243		  272.567479		    156.382030  		  455.450395		     33.158668  		 420.826429		   748.914698		      346.892907		  145.288871	  	20219.210574	 2.20886      5.5382519  	  17.912142	    67.763185	 	2773.24395000	    	   14060.94025000
 123.0           47.582474                  46.977855                 280.742049                 227.994446       	    109.953433  		  44.647363		     93.378049  		46.867881		  274.787512		    158.290421  		  460.999074		     33.400876  		 424.373551		   758.122293		      349.734842		  146.492656	  	20468.652424	 2.22491      5.5469030  	  18.046987	    68.296069	 	2807.42109000	    	   14246.26586000
 124.0           48.150636                  47.550797                 284.166477                 230.810653       	    110.852991  		  45.007970		     94.132284  		47.246525		  277.007577		    160.206602  		  466.570470		     33.643761  		 427.925737		   767.367715		      352.577706		  147.697604	  	20719.124089	 2.24107      5.5555528  	  18.181844	    68.828970	 	2841.73883000	    	   14432.73688000
 125.0           48.721080                  48.126039                 287.604647                 233.638239       	    111.752983  		  45.368583		     94.886535  		47.625175		  279.227671		    162.130542  		  472.164495		     33.887311  		 431.483111		   776.650811		      355.421531		  148.903755	  	20970.831363	 2.25736      5.5642004  	  18.316712	    69.361888	 	2876.19691000	    	   14620.35740000
 126.0           49.293796                  48.703572                 291.056503                 236.477160       	    112.653424  		  45.729201		     95.640801  		48.003830		  281.447795		    164.062211  		  477.781060		     34.131516  		 435.045801		   785.971426		      358.266352		  150.111148	  	21223.353646	 2.27376      5.5728448  	  18.451592	    69.894824	 	2910.79437000	    	   14809.27496000
 127.0           49.868775                  49.283388                 294.521990                 239.327370       	    113.554328  		  46.089824		     96.395083  		48.382491		  283.667946		    166.001578  		  483.420079		     34.376365  		 438.613932		   795.329408		      361.112201		  151.319821	  	21477.110849	 2.29028      5.5814849  	  18.586484	    70.427777	 	2945.53073000	    	   14999.35379000
